"word","freq"
"oh",158.299
"like",117.12
"love",115.423
"baby",103.167
"can",85.747
"got",81.194
"say",79.451
"know",77.234
"go",74.515
"girl",71.355
"now",64.382
"let",61.897
"just",60.624
"never",55.904
"run",54.757
"girls",53.8
"get",53.624
"one",50.519
"right",49.622
"want",49.408
"slay",47
"wanna",45.608
"world",44.682
"see",44.158
"take",44.009
"okay",42.679
"put",39.659
"good",36.554
"crazy",33.94
"la",32.297
"ain't",31.921
"make",31.692
"time",30.038
"come",29.972
"keep",28.738
"feel",28.458
"turn",28.404
"'cause",28.345
"hands",28.279
"back",27.965
"boy",27.917
"side",26.016
"night",25.886
"need",25.7
"rock",24.303
"babe",24.264
"uh",23.821
"cause",23.437
"top",22.864
"mine",22.139
"smack",21.725
"i'ma",21.215
"tell",21.165
"hey",21.108
"runnin'",20.507
"looking",20.487
"life",20.448
"around",20.202
"lights",20.184
"think",19.734
"look",19.571
"still",19.557
"everything",19.535
"little",19.431
"ladies",19.231
"hold",19.125
"man",18.752
"halo",18.413
"must",18.38
"big",18.013
"air",17.955
"kiss",17.602
"coming",17.504
"motha",17.455
"way",16.906
"ooh",16.704
"lookin",16.532
"ring",15.975
"care",15.608
"'til",15.538
"gonna",15.396
"flawless",15.196
"us",15.02
"thing",14.899
"ya",14.855
"body",14.821
"yeah",14.519
"stop",14.435
"show",14.22
"much",14.164
"spinnin'",14.085
"eyes",14.05
"cherry",13.817
"daddy",13.771
"beautiful",13.496
"tonight",13.455
"na",13.415
"woman",13.404
"diva",13.092
"even",13.025
"liked",12.886
"clap",12.713
"god",12.477
"took",12.385
"roll",12.369
"'bout",12.304
"bad",12.194
"bow",12.177
"damn",12.049
"every",12
"day",11.785
"grown",11.764
"promise",11.662
"whatever",11.535
"club",11.495
"keeping",11.121
"bitches",11.121
"left",11.097
"without",10.852
"away",10.829
"another",10.645
"hard",10.465
"live",10.399
"heart",10.129
"power",10.109
"give",10.089
"thought",9.979
"ego",9.934
"ever",9.901
"call",9.798
"always",9.709
"best",9.423
"town",9.335
"nothing",9.281
"gon'",9.213
"please",9.195
"better",9.193
"song",9.13
"going",9.081
"touch",9.05
"stay",8.943
"home",8.882
"really",8.855
"walk",8.766
"goes",8.687
"things",8.612
"mind",8.578
"beat",8.42
"made",8.359
"something",8.217
"eh",8.184
"face",8.079
"wait",8.075
"woke",7.876
"deep",7.875
"shit",7.827
"making",7.779
"yes",7.736
"lose",7.735
"ass",7.733
"gotta",7.724
"might",7.632
"love's",7.507
"swear",7.458
"nevnever",7.34
"morning",7.302
"said",7.252
"kind",7.247
"loving",7.214
"play",7.167
"onto",7.15
"drop",7.129
"h",7.088
"da",7.085
"formation",7
"hustler",6.983
"driver",6.899
"partition",6.899
"check",6.819
"tryna",6.789
"kick",6.733
"else",6.687
"together",6.665
"mad",6.657
"jealous",6.585
"shine",6.565
"watch",6.509
"hoping",6.5
"listen",6.475
"talking",6.473
"light",6.453
"money",6.425
"talk",6.379
"fuck",6.28
"alcohol",6.26
"foot",6.26
"hair",6.221
"leave",6.166
"well",6.153
"hurts",6.136
"fight",6.131
"single",6.081
"bring",6.043
"inside",6.039
"feeling",6.02
"heaven",5.965
"star",5.923
"peak",5.907
"name",5.88
"wave",5.864
"candy",5.862
"pretty",5.818
"real",5.756
"standing",5.748
"hand",5.739
"ohh",5.658
"understand",5.578
"drinking",5.573
"needs",5.548
"ground",5.498
"last",5.481
"hot",5.471
"liquor",5.467
"move",5.465
"red",5.449
"lookin'",5.444
"wanted",5.37
"ready",5.365
"ride",5.351
"dream",5.344
"try",5.329
"fast",5.303
"hate",5.268
"soul",5.241
"legs",5.235
"schoolin'",5.21
"hope",5.208
"sometimes",5.186
"super",5.178
"45",5.174
"dressed",5.174
"minutes",5.174
"bitch",5.137
"kinda",5.135
"work",5.062
"rockin'",5.012
"start",5.005
"fix",4.98
"gave",4.96
"beyonce]",4.951
"die",4.951
"seven",4.948
"crown",4.947
"trick",4.945
"tried",4.888
"upgrade",4.813
"5",4.812
"pride",4.775
"nobody",4.77
"mouth",4.759
"find",4.759
"haters",4.752
"teach",4.746
"ghost",4.746
"minute",4.741
"hell",4.723
"sleep",4.713
"waterfalls",4.694
"i'mma",4.693
"break",4.662
"haunting",4.65
"bass",4.649
"drunk",4.644
"stand",4.632
"matter",4.624
"heard",4.604
"video",4.594
"low",4.588
"'em",4.584
"immortal",4.574
"thinking",4.573
"handle",4.549
"fly",4.537
"enough",4.532
"dress",4.517
"forever",4.485
"end",4.408
"cuz",4.362
"comes",4.351
"turned",4.328
"texas",4.317
"wake",4.279
"dreams",4.263
"tears",4.258
"dance",4.25
"remember",4.248
"alive",4.245
"reach",4.222
"feels",4.209
"flight",4.186
"radio",4.166
"head",4.164
"buy",4.154
"humming",4.145
"moaning",4.145
"two",4.139
"slow",4.138
"used",4.137
"thank",4.109
"shoulda",4.092
"gone",4.074
"done",4.057
"save",4.049
"free",4.031
"forget",4.021
"glass",4.02
"grind",4.001
"negro",4
"hear",3.989
"rollin'",3.972
"drip",3.948
"long",3.943
"eat",3.93
"believe",3.93
"hurt",3.924
"sun",3.922
"dice",3.912
"movin'",3.912
"steady",3.912
"bout",3.89
"9",3.884
"im",3.869
"came",3.866
"throw",3.855
"nation",3.841
"hoo",3.82
"voice",3.796
"hour",3.786
"screaming",3.775
"whatever's",3.701
"worse",3.701
"far",3.697
"help",3.679
"bet",3.672
"catch",3.671
"men",3.666
"female",3.661
"friend",3.649
"anything",3.646
"woah",3.642
"alone",3.627
"party",3.622
"finally",3.619
"diamond",3.611
"drippin'",3.611
"boo",3.61
"high",3.609
"cake",3.582
"first",3.581
"loved",3.559
"crowd",3.558
"darkest",3.558
"search",3.558
"tough",3.553
"running",3.543
"twisted",3.515
"maybe",3.514
"dip",3.508
"scared",3.492
"bed",3.463
"y'all",3.461
"hood",3.456
"flavor",3.454
"ripped",3.449
"fresh",3.438
"fire",3.437
"round",3.421
"new",3.412
"worry",3.402
"taking",3.387
"dont",3.378
"rather",3.367
"pray",3.351
"reason",3.312
"miss",3.301
"momma",3.293
"sweatin'",3.29
"lost",3.288
"strong",3.261
"tomorrow",3.241
"trying",3.24
"three",3.236
"page",3.222
"wish",3.209
"breathe",3.207
"women",3.16
"black",3.157
"htown",3.156
"asking",3.137
"feelin'",3.13
"shoulders",3.13
"twice",3.13
"deeply",3.129
"phone",3.115
"freak",3.092
"stick",3.092
"bodied",3.087
"surgery",3.085
"tight",3.084
"stunt",3.081
"saw",3.081
"mirror",3.06
"booty",3.028
"rise",3.026
"marriage",3.009
"fantasies",2.977
"lord",2.975
"bought",2.975
"devour",2.97
"found",2.966
"pain",2.948
"swag",2.93
"open",2.921
"deal",2.913
"something's",2.908
"tongue",2.887
"fighting",2.881
"aint",2.868
"belong",2.856
"pink",2.855
"flow",2.854
"bbaby",2.848
"ddaddy",2.848
"handprints",2.848
"raise",2.846
"either",2.824
"gives",2.807
"getting",2.8
"pay",2.796
"sight",2.79
"faded",2.787
"graining",2.787
"surfboard",2.787
"swerving",2.787
"young",2.774
"broke",2.773
"fine",2.759
