"word","freq"
"oh",154.944
"love",154.492
"now",139.69
"yeah",119.14
"got",113.828
"know",106.938
"say",101.468
"right",97.16
"gonna",95.355
"one",90.687
"jah",79.31
"jammin'",72.98
"give",72.055
"baby",71.929
"get",69.982
"come",68.016
"like",66.746
"let",66.52
"can",66.311
"wanna",60.246
"want",60.082
"ya",57.221
"people",57.204
"little",56.605
"thing",54.845
"good",52.837
"just",52.281
"said",50.948
"live",50.157
"see",49.65
"worry",49.408
"rock",48.989
"man",47.302
"every",46.193
"lord",45.249
"cry",45.103
"feel",44.999
"go",44.851
"'cause",44.26
"need",44.224
"de",44.142
"never",43.231
"woman",43.149
"fight",42.76
"time",39.964
"away",38.908
"together",38.88
"dread",38.17
"life",37.766
"coming",37.454
"keep",36.417
"stand",35.993
"make",35.732
"yes",32.282
"heart",30.566
"reggae",30.37
"take",30.168
"tonight",29.831
"soul",29.65
"much",28.565
"natty",28.545
"ooh",28.077
"music",27.673
"tell",27.657
"children",27.599
"alright",27.334
"day",27.22
"try",27.078
"yoe",26.752
"something",26.08
"long",26.056
"woe",25.815
"darlin'",25.473
"running",24.845
"fire",24.478
"loved",24.469
"night",24.104
"la",24.1
"sweet",24.044
"forever",24.002
"happy",23.927
"whatcha",23.737
"wake",23.24
"simmer",22.983
"us",22.879
"ain't",22.525
"trouble",22.206
"stop",21.995
"world",21.935
"stir",21.285
"ganja",21.163
"way",20.764
"ride",20.634
"lick",20.532
"yo",20.372
"movement",20.257
"trenchtown",19.776
"gone",19.27
"work",18.854
"sun",18.565
"think",18.527
"ser",18.31
"samba",18.25
"rebel",18.086
"hear",17.96
"must",17.913
"well",17.904
"wow",17.85
"singin'",17.694
"hammer",17.594
"look",17.48
"dem",17.437
"back",17.406
"train",17.203
"run",16.599
"easy",16.297
"wait",16.056
"shall",15.988
"deh",15.888
"jam",15.813
"tears",15.497
"uh",15.469
"'pon",15.438
"bad",15.405
"new",15.385
"vain",15.222
"boys",15.218
"wrong",15.175
"podra",15.055
"youths",15.027
"everything",14.911
"babylon",14.895
"fighting",14.759
"hope",14.597
"carry",14.596
"place",13.908
"na",13.799
"zion",13.435
"town",13.101
"war",12.924
"talk",12.743
"free",12.402
"wo",12.397
"songs",12.378
"talkin'",12.347
"thanks",12.308
"turn",12.234
"living",12.076
"dreadlock",12.052
"please",11.946
"heathen",11.775
"race",11.66
"big",11.552
"morning",11.531
"rammer",11.51
"another",11.498
"survivors",11.438
"kinky",11.426
"wall",11.272
"chuck",11.241
"walk",11.132
"eyes",10.989
"great",10.945
"ago",10.839
"move",10.778
"whoa",10.757
"zimbabwe",10.656
"amado",10.579
"fool",10.381
"/fadeout/",10.28
"shot",10.272
"remember",10.259
"oohwee",10.192
"cause",10.188
"cut",10.183
"rat",10.165
"jump",10.149
"put",10.068
"sayin'",10.01
