"word","freq"
"like",557.982
"get",500.418
"know",455.026
"now",359.685
"got",356.052
"just",352.945
"ain't",263.168
"oh",240.653
"go",233.177
"shit",206.071
"right",205.881
"need",199.837
"see",198.856
"say",197.63
"love",192.496
"can",187.208
"nigga",184.539
"want",180.91
"man",174.913
"one",163.495
"back",157.9
"never",152.493
"feel",151.447
"ya",148.377
"make",146.617
"good",142.373
"life",142.358
"ever",141.607
"let",140.618
"girl",138.265
"tell",138.016
"time",134.003
"way",132.948
"baby",131.577
"take",130.837
"niggas",127.344
"cause",126.384
"yeah",119.6
"still",115.439
"uh",109.724
"day",109.403
"keep",107.588
"bad",105.414
"kanye",104.992
"god",102.117
"money",101.812
"fuck",100.749
"new",98.088
"lights",96.35
"bitch",95.854
"hey",94.366
"look",88.914
"much",87.929
"said",86.015
"y'all",84.451
"gotta",84.407
"forever",83.224
"night",82.119
"us",81.487
"even",81.445
"come",79.891
"give",79.254
"made",78.642
"high",77.511
"wanna",75.414
"'em",73.445
"yo",72.581
"people",72.08
"told",72.004
"la",71.909
"stop",70.018
"gonna",69.404
"think",69.137
"live",69.117
"hands",68.985
"every",68.431
"head",67.969
"real",67.937
"ass",66.868
"talk",66.803
"always",63.553
"home",63.414
"well",63.027
"whole",61.432
"everything",61.139
"bam",60.994
"long",60.393
"thing",59.721
"nothing",59.511
"really",58.576
"yeezy",58.1
"everybody",56.756
"gon'",56.639
"call",55.75
"black",55.314
"damn",54.317
"turn",53.129
"better",51.588
"broke",51.503
"put",51.269
"fly",49.803
"something",48.714
"hit",48.687
"mean",48.373
"gone",47.623
"morning",46.984
"throw",46.403
"things",46.222
"game",45.939
"nobody",45.765
"might",44.452
"hard",44.412
"world",43.929
"leave",43.73
"lost",43.7
"two",43.547
"amazin'",43.432
"soul",43.383
"guess",43.142
"sky",42.939
"little",42.431
"'bout",42.396
"'cause",41.694
"old",41.187
"away",41.134
"deep",40.54
"show",40.409
"im",40.319
"hear",40.231
"first",40.171
"big",39.797
"many",39.477
"wrong",39.23
"girls",39.191
"diamonds",39.094
"eyes",38.981
"mind",38.854
"play",38.667
"tryna",38.623
"boy",38.569
"around",37.805
"heard",37.688
"whoa",37.485
"going",37.386
"saying",37.336
"gold",37.041
"ask",36.996
"fuckin'",36.947
"find",36.869
"work",36.821
"friends",36.814
"seen",36.454
"i'ma",36.352
"wait",35.914
"em",35.661
"clique",35.632
"came",35.619
"white",35.5
"trying",35.447
"last",35.392
"kids",35.298
"thought",35.169
