"word","freq"
"like",125.697
"know",122.698
"rollin'",117.268
"now",115.208
"way",83.191
"back",83.074
"get",82.211
"just",81.837
"fuck",79.359
"gonna",79.269
"go",75.584
"'cause",69.116
"want",67.912
"can",67.555
"hate",65.94
"shit",65.237
"one",61.733
"keep",61.428
"got",59.811
"time",58.931
"come",54.332
"world",53.173
"never",50.619
"hands",46.941
"life",40.179
"think",39.235
"let",38.986
"wanna",38.833
"give",37.444
"take",36.184
"yeah",35.661
"fucked",35.564
"i'ma",35.02
"see",34.626
"ain't",33.662
"things",33.63
"away",33.21
"check",32.793
"right",31.842
"baby",29.904
"better",29.891
"even",29.392
"bring",29.316
"gotta",29.027
"say",28.925
"seen",27.846
"tell",25.727
"limp",25.552
"stick",25.273
"ass",25.05
"little",24.874
"faith",24.08
"rock",23.57
"bizkit",23.433
"man",22.235
"lately",21.414
"today",21.382
"jump",21.07
"need",20.787
"mind",20.698
"bitch",20.626
"ya",20.5
"day",20.318
"always",20.009
"make",19.848
"everybody",19.237
"around",19.126
"done",18.708
"stay",18.418
"good",18.095
"people",17.873
"throw",17.577
"love",17.543
"leave",17.486
"melody",17.297
"something",16.914
"feel",16.901
"breath",16.811
"fuckin'",16.644
"ready",16.503
"maybe",16.462
"motherfucker",16.46
"oh",16.446
"ever",16.087
"inside",15.94
"every",15.935
"really",15.596
"run",15.4
"shut",15.208
"cry",15.039
"another",15.022
"move",15.016
"break",14.759
"bad",14.748
"hey",14.744
"place",14.501
"everything",14.396
"nookie",14.14
"look",13.976
"still",13.6
"stand",13.451
"long",13.399
"nothing",13.313
"real",13.257
"call",13.257
"eat",13.208
"cause",13.165
"alive",13.031
"punk",12.822
"shout",12.795
"talk",12.764
"well",12.528
"somebody",12.52
"said",12.5
"face",12.481
"head",12.475
"believe",12.376
"cuz",12.241
"put",12.195
"nobody",12.182
"y'all",12.085
"cookie",12.063
"fight",12.034
"change",11.862
"reason",11.634
"hot",11.497
"turn",11.413
"show",11.299
"hell",11.291
"wait",11.23
"highway",11.115
"rn",10.75
"knows",10.695
"alone",10.655
"find",10.637
"yea",10.587
"stuck",10.574
"live",10.531
"beat",10.525
"try",10.5
"eyes",10.407
"nothin'",10.247
"heart",10.1
"kid",9.907
"wish",9.895
"left",9.866
"lie",9.804
"guess",9.722
"blame",9.675
"hold",9.657
"comes",9.43
"free",9.351
"getcha",9.345
"step",9.158
"big",9.09
"learn",9.03
"made",8.971
"cash",8.968
"might",8.89
"chainsaw",8.822
"straight",8.791
"mine",8.727
"damn",8.707
"quit",8.666
"stop",8.618
"bullshit",8.607
"fast",8.6
"two",8.51
"us",8.397
"days",8.383
"play",8.367
"aint",8.351
"whole",8.319
"house",8.304
"boy",8.289
"going",8.264
"wrong",8.114
"came",8.077
"easy",8.033
"somethin'",8.02
"brain",7.938
"burn",7.932
"hear",7.932
"hesays",7.827
"shesays",7.827
"fucking",7.784
"anybody",7.763
"game",7.746
"pain",7.72
"hope",7.709
"told",7.698
"mic",7.663
"sweet",7.637
"second",7.616
"ladies",7.552
"givin'",7.522
"hit",7.441
"im",7.396
"lonely",7.346
"kinda",7.342
"die",7.332
"gimmie",7.322
"hard",7.25
"home",7.212
"gun",7.18
"blow",7.118
"new",7.031
"please",6.958
"talking",6.95
"gold",6.946
"track",6.837
"sure",6.765
"deserve",6.674
"groove",6.629
"rockin'",6.545
"high",6.503
"line",6.486
"next",6.481
"yo",6.448
"remember",6.446
"money",6.425
"skin",6.359
"yes",6.322
"dead",6.267
"behind",6.226
"gets",6.211
"starfish",6.202
"bet",6.194
"enough",6.166
"microphone",6.16
"sad",6.151
"seems",6.055
"ho",6.042
"much",6.038
"went",5.946
"kill",5.909
"ahead",5.892
"broke",5.881
"mouth",5.867
"space",5.86
"night",5.781
"coming",5.775
"floor",5.705
"pack",5.687
"door",5.674
"listen",5.661
"pay",5.656
"drop",5.62
"decide",5.618
"tonight",5.608
"sleep",5.583
"older",5.514
"dont",5.473
"keeps",5.46
"okay",5.396
"times",5.39
"fall",5.381
"lookin'",5.375
"ride",5.368
"thought",5.353
"start",5.296
"dreams",5.294
"sex",5.288
"gettin'",5.275
"livin'",5.241
"use",5.212
"red",5.212
"'round",5.212
"set",5.174
"x2",5.172
"single",5.134
"without",5.128
"la",5.092
"thing",5.088
"fat",5.057
"leaving",5.042
"party",5.029
"girls",5.009
"hide",4.999
"'em",4.946
"em",4.938
"fly",4.905
"whynow",4.876
"critics",4.771
"insane",4.764
"roll",4.761
"top",4.736
"an'",4.646
"talkin'",4.61
"getting",4.562
"waiting",4.555
"living",4.542
"someday",4.524
"trust",4.513
"till",4.508
"music",4.466
"help",4.463
"cant",4.441
"walk",4.429
"lesson",4.428
"golden",4.407
"dive",4.406
"used",4.403
"feeling",4.401
"slip",4.398
"none",4.384
"giving",4.378
"raw",4.377
"telling",4.366
"gone",4.359
"drug",4.356
"loves",4.355
"kick",4.341
"lot",4.337
"full",4.264
"lip",4.208
"hand",4.205
"chocolate",4.191
"knife",4.185
"word",4.18
"complain",4.163
"first",4.139
"comin'",4.12
"act",4.112
"gggeneration",4.093
"soul",4.092
"minute",4.09
"end",4.037
"loose",4.03
"pop",4.023
"meet",3.966
"sun",3.959
"green",3.956
"fred",3.914
"anymore",3.91
"sometimes",3.891
"yeahi",3.884
"uh",3.872
"huh",3.841
"sorry",3.838
"sucker",3.825
"best",3.816
"cares",3.806
"blue",3.798
"blood",3.797
"dash",3.795
"flow",3.789
"mess",3.768
"rap",3.76
"pants",3.736
"feelin'",3.731
"special",3.705
"lay",3.697
"wash",3.668
"sky",3.657
"losing",3.656
"taste",3.65
"true",3.648
"minds",3.643
"tension",3.633
"side",3.627
"chump",3.623
"chorus",3.615
"lies",3.596
"middle",3.567
"words",3.566
"john",3.559
"outta",3.551
"takes",3.54
"friends",3.536
"watch",3.531
"speak",3.523
"waitin'",3.518
"cold",3.496
"dog",3.49
"loser",3.487
"probably",3.487
"wake",3.485
"it'll",3.481
"gentlemen",3.48
"drink",3.479
"rhymes",3.471
"invading",3.463
"motherfucking",3.461
"three",3.458
"checks",3.444
"understand",3.436
"cap",3.42
"walking",3.418
"goes",3.402
"perfect",3.397
"funk",3.387
"porch",3.386
"care",3.384
"hole",3.383
"x",3.375
"school",3.366
"killer",3.362
"deep",3.359
"'till",3.352
"lost",3.311
"cryin'",3.303
"drinking",3.278
"god",3.277
"generation",3.275
"gave",3.264
"hurt",3.263
"exist",3.261
"last",3.236
"freak",3.224
"angels",3.218
"yesterday",3.21
"follow",3.197
"sick",3.174
"rage",3.154
"human",3.137
"girl",3.134
"fool",3.134
"someone",3.115
"empty",3.112
"toe",3.11
"fire",3.109
"dream",3.107
"blasting",3.059
"dumb",3.049
"deal",3.029
"conscience",3.027
"pollution",3.013
"knocked",3.004
"ones",2.999
"thank",2.995
"radio",2.995
"though",2.992
"become",2.985
"louder",2.98
"attack",2.976
"old",2.966
"soon",2.963
"dig",2.95
"says",2.945
"should've",2.937
"russian",2.93
"da",2.922
"worth",2.914
"imma",2.913
"friend",2.907
"g",2.897
"preach",2.892
"blast",2.889
"x3",2.889
"light",2.884
"closer",2.862
"life's",2.854
"vengeance",2.853
"truth",2.851
"slacker",2.829
"'til",2.806
"crown",2.805
"air",2.798
"body",2.794
"hours",2.793
"window",2.775
"room",2.774
"respect",2.774
"hood",2.768
"solo",2.764
"whore",2.76
"fitted",2.759
"bridge",2.756
"happy",2.746
"2",2.742
"blind",2.742
"touch",2.737
"black",2.737
"size",2.736
"animal",2.729
"gin",2.701
"pass",2.701
"reality",2.684
"durst",2.68
"heard",2.68
"fellas",2.673
"jet",2.658
"business",2.657
"maniac",2.653
"noise",2.648
"feels",2.633
"alright",2.632
"along",2.627
"record",2.619
"happens",2.616
"news",2.613
"drunk",2.608
"band",2.574
"wall",2.57
"'a",2.569
"else",2.562
"path",2.557
"fucker",2.557
"lane",2.556
"past",2.548
"grip",2.537
"build",2.533
"mosh",2.525
"crazy",2.521
"upset",2.515
"memory",2.512
"yet",2.498
"save",2.487
"grab",2.48
"cobra",2.476
"pissed",2.474
"shot",2.467
"d",2.465
"name",2.465
"bitches",2.463
"grill",2.456
"pick",2.445
"doubt",2.445
"drives",2.445
"seep",2.445
"flames",2.442
"found",2.439
"mother",2.439
"thinkin'",2.438
"shots",2.418
"fine",2.418
"idiot",2.416
"motherfuckers",2.413
"felt",2.405
"showing",2.399
"beats",2.397
"million",2.387
"sleeping",2.378
"laugh",2.362
"goodbye",2.356
"abuser",2.356
"analyze",2.356
"cable",2.356
"combination",2.356
"denied",2.356
"edge",2.356
"era",2.356
"fist",2.356
"fried",2.356
"meaning",2.356
"pointed",2.356
"roulette",2.356
"secret",2.356
"sir",2.356
"turned",2.352
"burnin'",2.343
"sniffing",2.34
"dyin'",2.338
"piece",2.336
"begging",2.33
"town",2.308
"moment",2.292
"c'mon",2.285
"distance",2.285
"platinum",2.273
"crossed",2.271
"instead",2.251
"diggin'",2.247
"throat",2.243
"bout",2.24
"adore",2.237
"mouth's",2.237
"writin'",2.237
"mmm",2.236
"low",2.236
"heavy",2.236
"hip",2.232
"movin'",2.228
"reminisce",2.219
"fake",2.212
"knew",2.203
"missing",2.201
"called",2.183
"six",2.18
"lean",2.178
"problems",2.178
"solve",2.178
"misery",2.175
"gether",2.174
"far",2.174
"worst",2.172
"least",2.153
"pathetic",2.152
"strange",2.147
"ground",2.142
"snoop",2.14
"pit",2.132
"serious",2.122
"control",2.117
"makin'",2.107
"giddeyup",2.106
"lets",2.105
"players",2.099
"nuts",2.095
"tells",2.092
"someone's",2.089
"barricade",2.084
"finger",2.075
"eye",2.071
"feelin",2.066
"sound",2.061
"escape",2.06
"crack",2.058
"ocean",2.054
"clown",2.04
"lethal",2.034
"rains",2.033
"wutang",2.033
"hollywood",2.032
"ma",2.029
"runnin",2.029
"shady",2.015
"mean",2.011
"wanted",2.009
"luck",1.999
"panties",1.997
"advice",1.997
"bust",1.986
"figure",1.984
"nuthin'",1.98
"pimp",1.979
"fact",1.974
"memories",1.973
"leaves",1.968
"learned",1.966
"goin'",1.966
"realize",1.958
"eating",1.958
"relate",1.954
"forget",1.945
"treated",1.943
"song",1.934
"passing",1.93
"knock",1.928
"tickin'",1.923
"haters",1.917
"mix",1.917
"hated",1.914
"brains",1.908
"movin",1.908
"riff",1.895
"flo'",1.895
"partner",1.889
"everyday",1.889
"dance",1.88
"attitude",1.878
"agony",1.877
"becomes",1.874
"river",1.874
"already",1.873
"saw",1.871
"ha",1.865
"rockin",1.865
"near",1.858
"screw",1.856
"history",1.852
"leadership",1.852
"wild",1.848
"mistake",1.846
"everyone",1.846
"eight",1.843
"phat",1.843
"hatin'",1.842
"baseball",1.841
"slow",1.831
"chest",1.829
"ooo",1.818
"lovin'",1.814
"seven",1.814
"anything",1.81
"crush",1.809
"kept",1.803
"phone",1.8
"dum",1.799
"wonder",1.797
"falling",1.793
"worldwide",1.793
"running",1.79
"ah",1.79
"saying",1.789
"stage",1.786
"trash",1.783
"looking",1.776
"playin'",1.775
"smackin'",1.763
"afraid",1.757
"freddy",1.753
"trunk",1.752
"n",1.75
"born",1.747
"grows",1.744
"white",1.729
"brought",1.725
"moms",1.721
"rhyme",1.721
"shake",1.718
"shock",1.711
"mistakes",1.708
"bizkit's",1.707
"fix",1.696
"kiss",1.691
"city",1.689
"stacks",1.686
"blues",1.681
"strong",1.681
"runnin'",1.675
"seem",1.675
"tight",1.674
"mrs",1.665
"cruise",1.664
"many",1.659
"underneath",1.658
"guts",1.658
"job",1.655
"rolling",1.654
"goin",1.652
"rush",1.649
"hoping",1.649
"paneso",1.637
"shine",1.637
"ways",1.633
"sack",1.632
"bees",1.63
"tender",1.628
"atcha",1.625
"beaten",1.625
"committed",1.625
"fillin",1.625
"latelynow",1.625
"me'cause",1.625
"placin",1.625
"sac",1.625
"starin",1.625
"lil",1.623
"young",1.621
"piss",1.62
"letting",1.619
"cos",1.617
"soldiers",1.614
"bounce",1.614
"since",1.612
"great",1.611
"puff",1.608
"priest",1.605
"shark",1.602
"tied",1.599
"looks",1.599
"buck",1.596
"foolish",1.591
"notion",1.591
"reconsider",1.591
"darkness",1.591
"feet",1.589
"regret",1.588
"concrete",1.586
"ear",1.586
"beauty",1.585
"risk",1.584
"bat",1.58
"happen",1.575
"hurts",1.573
"smile",1.57
"tomorrow",1.569
"throwin'",1.568
"waste",1.567
"cage",1.566
"sucks",1.565
"key",1.564
"feed",1.563
"games",1.563
"attempting",1.559
"disappoint",1.559
"disposition",1.559
"explain",1.559
"overwhelming",1.559
"rearranged",1.559
"wears",1.559
"spit",1.554
"proud",1.554
"wreck",1.549
"mad",1.546
"together",1.546
"remind",1.544
"nine",1.542
"suggestion",1.539
"whatcha",1.536
"met",1.535
"'cuz",1.535
"everywhere",1.532
"knockin'",1.518
"crime",1.512
"fun",1.51
"locked",1.505
"matter",1.5
"twice",1.499
"player",1.499
"ache",1.498
"burns",1.498
"easier",1.498
"wants",1.495
"caddies",1.494
"daddies",1.494
"hoppers",1.494
"jolts",1.494
"lovers",1.494
"mommas",1.494
"raincheck",1.494
"rockers",1.494
"rollin'hey",1.494
"rollin'move",1.494
"rollin'now",1.494
"rollin'you",1.494
"twentyfour",1.494
"close",1.494
"write",1.492
"shame",1.492
"table",1.492
"world's",1.492
"method",1.49
"suicidal",1.488
"list",1.483
"homies",1.482
"quick",1.482
"lose",1.475
"rain",1.475
"sour",1.465
"unexpected",1.462
"deny",1.461
"blowin'",1.458
"adrenaline",1.457
"taking",1.454
"making",1.451
"chance",1.451
"beautiful",1.45
"must",1.447
"pulling",1.446
"lust",1.445
"open",1.445
"neck",1.442
"catch",1.439
"either",1.439
"super",1.435
"addicted",1.426
"fillin'",1.416
"plate",1.416
"slackin'",1.415
"treat",1.413
"ima",1.413
"hits",1.412
"assed",1.409
"hostile",1.408
"bills",1.407
"seats",1.407
"worry",1.405
"barkin'",1.397
"rug",1.396
"savor",1.394
"water",1.389
"question",1.386
"layin'",1.386
"alarm",1.386
"burnin''cause",1.386
"dealing",1.386
"learnin'",1.386
"mighty",1.386
"returnin'this",1.386
"raisin'",1.383
"thinking",1.379
"strung",1.372
