"word","freq"
"yeah",131.774
"just",114.99
"like",102.212
"know",87.755
"never",80.599
"'cause",75.323
"get",69.266
"one",66.533
"oh",62.7
"go",61.191
"can",60.247
"now",57.873
"love",56.623
"say",56.204
"every",55.299
"gonna",55.062
"time",52.386
"got",51.557
"come",44.054
"make",43.118
"want",41.756
"away",40.266
"see",39.019
"waiting",38.963
"wanna",38.816
"around",37.42
"let",36.023
"us",35.075
"way",35.016
"night",34.11
"good",33.379
"hey",32.545
"tell",31.858
"believe",31.389
"day",31.319
"long",31.232
"wrong",30.437
"last",27.767
"far",27.688
"well",27.345
"take",27.144
"gotta",26.888
"life",25.885
"right",25.706
"always",25.52
"back",25.516
"keep",25.049
"yes",24.919
"need",24.73
"everyone",24.726
"miss",23.816
"hard",23.627
"give",23.587
"ever",22.424
"ain't",22.198
"leave",22.124
"still",22.081
"find",22.009
"even",21.919
"round",21.638
"dance",21.608
"hold",21.218
"nobody",20.488
"bad",20.333
"late",20.329
"little",20.203
"really",19.564
"world",18.235
"hands",17.866
"try",17.84
"said",17.74
"forever",17.664
"fall",17.655
"much",17.46
"light",17.405
"gone",17.366
"comes",17.222
"god",16.507
"wants",16.325
"hand",16.264
"somebody",15.937
"coming",15.859
"ay",15.438
"alone",15.394
"honey",15.115
"floor",14.719
"moment",14.712
"matter",14.574
"turn",14.434
"someone",14.289
"old",14.122
"knows",13.97
"live",13.825
"without",13.77
"yet",13.708
"bye",13.574
"revolution",13.538
"feel",13.371
"going",13.274
"look",13.229
"watch",13.132
"end",13.121
"stand",13.055
"hear",12.966
"saturday",12.951
"thing",12.77
"tonight",12.74
"guess",12.546
"found",12.545
"anything",12.432
"home",12.34
"stay",12.256
"'em",12.23
"baby",12.21
"fight",12.124
"along",12.123
"everything",12.076
"standing",11.809
"done",11.792
"think",11.78
"together",11.683
"alright",11.643
"better",11.429
"remind",11.18
"though",11.053
"hell",11.014
"worth",10.864
"friends",10.859
"door",10.821
"wait",10.82
"win",10.673
"today",10.667
"trying",10.636
"keeps",10.223
"fun",10.165
"nothing",10.113
"scream",10.068
"ground",10.036
"man",10.027
"ask",10.024
"living",9.995
"alive",9.913
"fly",9.868
"heart",9.855
"damn",9.827
"everybody",9.773
"getting",9.72
"must",9.648
"things",9.626
"left",9.618
"drink",9.601
"made",9.522
"another",9.489
"save",9.456
"holding",9.303
"breathing",9.29
"wanted",9.238
"change",9.203
"show",9.202
"wonder",9.162
"'til",9.08
"enough",8.974
"lie",8.958
"edge",8.946
"bedroom",8.931
"afternoon",8.746
"room",8.725
"anymore",8.725
"loved",8.614
"told",8.592
"wish",8.569
"please",8.568
"cause",8.508
"watching",8.5
"wow",8.491
"thought",8.49
"someday",8.482
"couple",8.474
"call",8.324
"lookin'",8.267
"friend",8.135
"easy",8.127
"seen",8.063
"naughty",7.981
"best",7.915
"animals",7.81
"high",7.807
"lullaby",7.742
"since",7.702
"tired",7.701
"inside",7.648
"learn",7.623
"hanging",7.62
"wind",7.62
"feeling",7.615
"shit",7.504
"makes",7.494
"'ay",7.453
"sitting",7.439
"hate",7.43
"says",7.395
"needed",7.334
"talk",7.273
"everybody's",7.26
"help",7.212
"figure",7.191
"satellite",7.09
"reach",7.053
"amen",7.018
"sing",6.959
"remember",6.916
"heaven",6.915
"times",6.891
"big",6.843
"dream",6.791
"full",6.77
"goodbye",6.721
"behind",6.651
"town",6.65
"head",6.643
"kiss",6.586
"pretend",6.585
"girl",6.545
"died",6.504
"faith",6.461
"stop",6.461
"finally",6.438
"rockstar",6.345
"tried",6.33
"burn",6.311
"eyes",6.31
"went",6.254
"sky",6.238
"till",6.234
"else",6.171
"whoa",6.163
"follow",6.159
"somewhere",6.108
"words",6.042
"feels",6.032
"kissing",5.962
"tomorrow",5.944
"side",5.881
"wondering",5.859
