"word","freq"
"que",408.431
"la",351.158
"get",302.911
"like",289.225
"baby",283.693
"el",238.179
"want",225.866
"de",212.069
"cho",211.728
"know",209.405
"go",205.583
"hey",197.884
"todo",193.386
"oh",192.527
"yo",192.302
"now",178.842
"ella",169.193
"girl",162.637
"lo",156.229
"bon",152.888
"got",146.881
"ay",144.545
"just",139.067
"love",134.326
"can",133.19
"y",125.339
"shake",124.185
"tu",120.322
"make",119.32
"wanna",119.219
"dale",114.377
"one",113.036
"let",112.02
"tonight",110.756
"world",109.487
"yeah",108.448
"en",103.916
"give",103.531
"taxi",102.751
"see",99.28
"back",93.992
"say",92.692
"come",92.423
"ole",91.081
"para",90.403
"si",89.819
"time",88.562
"te",88.487
"pa'",87.791
"un",86.099
"night",85.298
"bring",84.964
"girls",83.779
"right",80.301
"mami",80.274
"'em",79.683
"se",73.072
"hace",72.822
"jump",72.08
"take",70.827
"krazy",70.771
"es",68.825
"stop",68.489
"con",68.122
"ya",67.603
"quiero",64.257
"show",64.08
"life",59.837
"party",59.753
"ain't",59.697
"move",59.516
"le",59.432
"las",59.015
"money",58.774
"fe",56.046
"put",55.584
"man",54.291
"pa",53.969
"drop",52.094
"good",51.27
"ass",50.861
"oye",50.84
"pero",48.723
"cha",48.171
"everybody",47.484
"said",47.056
"esta",46.914
"tell",46.474
"play",46.12
"mundo",45.802
"feel",45.796
"cause",45.676
"body",45.013
"shit",44.817
"paro",44.092
"sexy",43.85
"loca",43.527
"never",43.522
"wild",43.283
"miami",43.204
"hotel",43.171
"gonna",42.862
"little",42.645
"y'all",42.328
"mi",41.616
"importa",41.334
"'cause",41.31
"quiere",41.147
"oohah",40.859
"sabe",40.057
"way",39.999
"ha",39.991
"run",39.688
"crazy",39.167
"como",38.622
"think",38.484
"live",38.411
"freaky",38.292
"tchu",38.037
"boom",37.792
"tcha",37.163
"gon'",36.917
"work",36.262
"los",35.691
"side",35.376
"ride",35.351
"everything",35.025
"ola",34.972
"club",34.289
"keep",34.287
"hit",34.254
"esta",34.25
"room",34.187
"need",34.151
"better",34.079
"mr",34.01
"meet",33.961
"fuck",33.895
"por",33.891
"care",33.795
"sube",33.543
"freak",33.233
"floor",32.841
"su",32.478
"around",32.355
"i'ma",32.34
"licky",32.233
"look",32.069
"ready",31.655
"soy",30.995
"rumba",30.462
"una",30.304
"thing",30.24
"day",30.137
"pitbull",30.025
"new",29.956
"rica",29.367
"lets",29.359
"chico",29.091
"round",28.717
"echa",28.672
"two",28.609
"line",28.501
"vino",28.288
"going",27.982
"call",27.646
"ooh",27.591
"free",27.38
"yes",26.905
"booty",26.585
"women",26.244
"n",26.067
"watch",26.064
"boys",26.047
"born",25.664
"every",25.52
"low",24.969
"nasty",24.918
"sky",24.596
"taking",24.209
"turn",24.197
"hard",23.954
"till",23.694
"dance",23.592
"mama",23.211
"boy",23.127
"sabes",22.937
"game",22.924
"mind",22.707
"dj",22.698
"worldwide",22.547
"fun",22.401
"might",22.394
"boca",22.301
"dice",22.285
"city",22.259
"nothing",22.122
"fire",22.055
"big",21.876
"fight",21.828
"conoci",21.796
"pa'rriba",21.752
"dirty",21.517
"tiene",21.432
"talk",21.422
"hay",21.413
"oooh",21.362
"dile",21.255
"manos",21.07
"verdad",21.038
"feeling",20.908
"mira",20.773
"esto",20.735
"tu",20.156
"al",20.144
"mine",20.143
"gotta",20.135
"bad",20.106
"rain",20.045
"ah",19.876
"em",19.669
"us",19.201
"hot",19.088
"mujeres",18.955
"lado",18.739
"pala",18.657
"somebody",18.616
"dont",18.534
"forget",18.38
"voy",18.369
"culo",18.329
"uh",18.318
"full",18.311
"bitch",18.293
"raised",18.283
"esa",18.255
"fiesta",18.176
"mueve",18.127
"international",18.12
"pa'lla",18.002
"305",17.682
"vamos",17.667
"roll",17.373
"believe",17.33
"trago",17.269
"enough",17.152
"ven",17.151
"took",17.081
"oeh",16.944
"ahead",16.887
"tras",16.847
"pit",16.742
"noche",16.61
"damn",16.563
"long",16.557
"dame",16.426
"dade",16.39
"mano",16.367
"wrong",16.314
"things",16.308
"lalalalala",16.255
"looking",16.231
"ladies",16.121
"done",16.031
"whole",16.027
"deja",16.007
"bend",15.889
"die",15.882
"doy",15.88
"home",15.779
"holiday",15.775
"even",15.764
"thang",15.72
"bang",15.556
"motel",15.47
"blow",15.116
"pare",15.018
"im",14.982
"unodo'trescuatro",14.924
"eyes",14.821
"ten",14.818
"people",14.809
"jigga",14.741
"still",14.665
"3",14.633
"please",14.631
"fine",14.574
"'bout",14.564
"tremendo",14.503
"friends",14.403
"vida",14.367
"working",14.315
"three",14.308
"tan",14.237
"whatever",14.201
"ahora",14.164
"loco",14.122
"sea",14.015
"feels",13.977
"ta",13.973
"ask",13.971
"loose",13.97
"made",13.823
"camino",13.769
"dura",13.755
"last",13.724
"tus",13.702
"afuera",13.602
"trae",13.524
"cuando",13.487
"estar",13.422
"hold",13.363
"cuidado",13.346
"welcome",13.336
"inn",13.278
"end",13.191
"/",13.134
"high",13.119
"name",13.101
"fuego",13.064
"bittys",13.017
"ol",13.017
"tigg",13.017
"ti",12.974
"moment",12.878
"beat",12.862
"drink",12.854
"break",12.81
"del",12.749
"aqui",12.735
"cuba",12.727
"son",12.714
"thats",12.708
"chi",12.697
"real",12.609
"undone",12.589
"rock",12.569
"puede",12.549
"top",12.51
"pull",12.45
"fall",12.446
"always",12.439
"armando",12.438
"well",12.431
"nadie",12.419
"hoy",12.347
