"word","freq"
"love",165.342
"yeah",69.181
"oh",58.782
"just",55.55
"ooh",53.204
"one",51.933
"go",51.882
"time",51.602
"can",46.114
"somebody",45.116
"find",39.922
"got",39.326
"life",38.763
"let",35.431
"now",34.026
"heart",33.807
"get",33.704
"make",32.432
"world",30.542
"take",30.487
"man",29.2
"like",27.903
"another",27.294
"know",27.287
"want",27.185
"day",26.49
"give",25.321
"hey",25.148
"stop",23.831
"back",22.543
"never",22.425
"good",21.844
"da",21.773
"way",21.366
"rock",20.615
"friends",20.504
"gonna",20.369
"see",20.272
"every",20.18
"keep",19.402
"still",18.786
"need",18.376
"little",18.362
"live",18.124
"away",18.101
"free",18.034
"yes",17.329
"people",17.198
"big",16.351
"right",16.013
"hard",15.043
"must",15.035
"face",14.993
"dust",14.752
"secret",14.717
"save",14.498
"bites",14.475
"everybody",14.261
"thing",13.948
"crazy",13.772
"gone",13.689
"baby",13.273
"say",13.21
"boy",13.145
"home",13.115
"made",13.006
"care",12.96
"us",12.816
"play",12.556
"wanna",12.547
"mind",12.355
"come",12.344
"call",12.338
"pressure",12.204
"look",11.772
"try",11.602
"ah",11.512
"duh",11.511
"called",11.487
"till",11.452
"long",11.333
"forever",11.092
"place",10.919
"ha",10.605
"things",10.497
"leave",10.446
"game",10.41
"die",10.41
"born",10.257
"end",10.251
"de",10.01
"anybody",9.972
"ain't",9.902
"turn",9.882
"champions",9.799
"better",9.662
"two",9.652
"ba",9.509
"break",9.49
"alone",9.449
"ready",9.356
"fat",9.317
"mama",9.267
"really",9.257
"days",9.238
"around",9.202
"night",9.118
"think",8.945
"round",8.866
"'cause",8.86
"girls",8.778
"inside",8.773
"feel",8.743
"nobody",8.684
"show",8.676
"much",8.66
"beat",8.638
"gotta",8.583
"easy",8.556
"bad",8.483
"old",8.443
"light",8.286
"true",8.192
"believe",8.151
"bottomed",8.142
"nothing",7.977
"streets",7.964
"living",7.954
"alive",7.884
"hear",7.878
"eyes",7.761
"real",7.645
"heaven",7.578
"well",7.506
"la",7.352
"domo",7.316
"wo",7.295
"without",7.245
"sky",7.226
"everything",7.172
"knows",6.99
"mr",6.931
"flash",6.915
"tell",6.884
"young",6.816
"dream",6.81
"sound",6.784
"chance",6.634
"hold",6.554
"street",6.475
"alright",6.473
"hand",6.42
"stand",6.39
"poor",6.377
"lonely",6.367
"god",6.364
