"word","freq"
"yeah",144.555
"love",136.245
"get",118.463
"know",116.112
"oh",113.165
"like",110.863
"take",104.146
"got",99.371
"now",98.485
"come",88.946
"time",85.312
"just",81.989
"make",80.9
"go",80.389
"away",65.398
"never",65.386
"want",63.377
"say",62.922
"can",62.412
"see",60.804
"hey",59.481
"give",57.768
"one",57.453
"good",56.483
"baby",56.398
"right",55.461
"girl",55.239
"little",54.045
"tell",53.475
"well",50.768
"life",44.523
"way",43.587
"wanna",43.447
"long",42.914
"feel",41.507
"said",41.441
"man",39.15
"gonna",38.419
"'cause",35.7
"world",35.616
"around",34.849
"another",33.549
"better",33.367
"ever",32.619
"day",32.476
"let",30.962
"find",30.293
"back",27.751
"look",27.721
"show",26.786
"friend",26.601
"please",26.4
"something",26.256
"believe",25.113
"dance",24.814
"mind",24.714
"two",24.678
"keep",24.611
"must",24.375
"gotta",23.971
"lay",23.745
"face",23.602
"perfect",23.526
"need",23.221
"stay",22.642
"everything",22.564
"night",22.23
"turn",22.181
"place",21.966
"sun",21.966
"inside",21.83
"someone",20.98
"made",20.852
"light",20.57
"getting",20.284
"eyes",19.938
"every",19.635
"god",19.494
"blood",19.43
"sky",18.893
"told",18.64
"alone",18.568
"play",18.486
"things",18.396
"lonely",18.297
"hard",18.118
"party",17.416
"sing",17.195
"kiss",17.179
"high",17.153
"coming",17.101
"think",16.965
"knows",16.689
"soul",16.405
"bad",16.377
"bump",16.341
"wrong",16.093
"white",15.853
"always",15.784
"much",15.762
"meant",15.679
"peace",15.572
"stop",15.499
"pussy",15.399
"space",15.345
"walk",15.14
"smile",15.14
"sex",15.056
"deep",15.019
"home",14.928
"knew",14.845
"magik",14.755
"best",14.643
"wonder",14.641
"found",14.508
"dream",14.451
"heart",14.307
"song",14.298
"story",14.094
"listen",13.99
"really",13.81
"sir",13.69
"road",13.635
"live",13.566
"big",13.525
"head",13.504
"sweet",13.497
"side",13.461
"psycho",13.438
"free",13.428
"hump",13.341
"looks",13.289
"falling",13.268
"boy",13.228
"snow",13.141
"california",13.09
"gone",13.089
"saw",13.082
"strong",13.018
"friends",12.939
"hot",12.875
"everybody",12.869
"slow",12.782
"de",12.706
"us",12.596
"mirror",12.497
"ride",12.477
"ooh",12.468
"guess",12.467
"doop",12.255
"feeling",11.983
"hear",11.936
"knock",11.853
"run",11.676
"lost",11.584
"pain",11.42
"comes",11.408
"fire",11.396
"funky",11.392
"king",11.334
"rollercoaster",11.332
"hold",11.288
"put",11.286
"almost",11.204
"leave",11.136
"born",11.106
"sea",11.071
"tried",11.033
"dead",11.012
"left",10.994
"readymade",10.957
"ba",10.94
"die",10.874
"fall",10.874
"break",10.856
"wish",10.849
"hollywood",10.843
"sound",10.745
"along",10.707
"girls",10.705
"going",10.655
"seen",10.581
"water",10.572
"save",10.569
"cabron",10.519
"rock",10.519
"share",10.474
"thing",10.432
"'em",10.423
"today",10.232
"top",10.223
"yes",10.175
"bird",10.055
"far",10.047
"name",9.982
"whoa",9.977
"fight",9.963
"red",9.912
"hell",9.838
"jump",9.793
"californication",9.695
"nowhere",9.691
"blue",9.679
"beneath",9.673
"behind",9.639
"calling",9.636
"skin",9.635
"pick",9.624
"black",9.619
"end",9.591
"making",9.572
"anything",9.559
"cover",9.546
"gave",9.493
"used",9.367
"cry",9.301
"torture",9.294
"full",9.269
"kind",9.228
"wanted",9.21
"running",9.181
"moon",9.12
"care",9.108
"cause",9.096
"city",9.046
"pay",8.996
"bit",8.987
"rest",8.935
"sure",8.918
"part",8.877
"step",8.877
"afraid",8.815
"im",8.764
"somebody",8.761
"dirt",8.74
"aeroplane",8.722
"without",8.633
"heavy",8.598
"ya",8.597
"last",8.583
"rain",8.566
"gets",8.548
"ah",8.521
"thought",8.509
"cold",8.492
"cut",8.489
"nothing",8.457
"try",8.413
"true",8.404
"state",8.357
"finally",8.339
"form",8.335
"hole",8.283
"three",8.28
"fuck",8.265
"came",8.236
"woman",8.187
"bodu",8.17
"may",8.074
"pleasure",8.06
"loving",8.055
"mother",8.006
"heard",7.979
"power",7.957
"brothers",7.936
"kick",7.932
"lovely",7.869
"sit",7.866
"people",7.819
"waiting",7.813
"even",7.813
"new",7.782
"hand",7.693
"young",7.659
"start",7.627
"mighty",7.595
"smell",7.585
"throat",7.535
"brother",7.517
"boys",7.512
"talk",7.478
"charlie's",7.463
"wu",7.463
"tonight",7.438
"enough",7.421
"bo",7.419
"town",7.412
"star",7.402
"ass",7.396
"steal",7.375
"pretty",7.36
"piece",7.358
"school",7.351
"bye",7.346
"close",7.346
"wake",7.324
"open",7.284
"might",7.253
"music",7.228
"wave",7.159
"minute",7.041
"rule",7.022
"looking",6.957
"happy",6.86
"nature",6.851
"cup",6.843
"living",6.801
"sugar",6.793
"bigger",6.773
"dirty",6.768
"lookin'",6.756
"still",6.754
"catholic",6.727
"lord",6.723
"reason",6.716
"first",6.688
"wide",6.686
"heaven",6.682
"band",6.656
"fly",6.654
"set",6.643
"sad",6.618
"standing",6.591
"y'all",6.562
"goes",6.535
"funny",6.516
"shocking",6.509
"hurt",6.497
"bridge",6.496
"many",6.476
"lady",6.473
"goodbye",6.457
"ask",6.416
"kid",6.4
"lie",6.39
"line",6.388
"times",6.376
"otherside",6.374
"freak",6.374
"wet",6.328
"soft",6.3
"hide",6.273
"downtown",6.26
"minor",6.258
"message",6.224
"days",6.221
"warm",6.22
"slide",6.208
"change",6.179
"old",6.16
"burn",6.123
"ones",6.103
"everywhere",6.097
"war",6.089
"yea",6.081
"testify",6.032
"broken",5.992
"songs",5.959
"suck",5.941
"american",5.923
"bap",5.825
"beauty",5.823
"fine",5.818
"together",5.795
"beat",5.772
"funk",5.742
"straight",5.735
"ground",5.724
"walking",5.689
"cool",5.666
"hundred",5.664
"eye",5.64
"blackeyed",5.628
"jungle",5.623
"stand",5.608
"pop",5.554
"makes",5.548
"station",5.54
"chance",5.499
"land",5.499
"sight",5.478
"c'mon",5.463
"body",5.452
"blow",5.451
"darling",5.441
"kill",5.438
"choose",5.437
"upon",5.437
"till",5.436
"stream",5.417
"quick",5.387
"forget",5.37
"killing",5.298
"earth",5.293
"everyone",5.263
"spiked",5.257
"talking",5.241
"street",5.241
"population",5.234
"drink",5.228
"tracks",5.228
"field",5.212
"talkin'",5.192
"forming",5.187
"warming",5.187
"separate",5.181
"showed",5.174
"lover",5.16
"stone",5.153
"tear",5.146
"use",5.141
"note",5.133
"view",5.128
"done",5.101
"o",5.099
"bush",5.091
"cop",5.057
"turtle",5.048
"dont",5.019
"loves",5.011
"wants",5.009
"tick",4.975
"west",4.968
"feet",4.94
"cheetah",4.933
"next",4.921
"taste",4.91
"says",4.906
"low",4.901
"died",4.898
"middle",4.886
"miles",4.871
"sometimes",4.853
"lose",4.844
"move",4.832
"throw",4.821
"win",4.821
"glad",4.802
"dust",4.795
"ain't",4.789
"called",4.773
"call",4.769
"sand",4.742
"tears",4.727
"death",4.714
"nothin'",4.708
"glow",4.688
"room",4.682
"took",4.681
"carry",4.674
"case",4.67
"hit",4.662
"storm",4.655
"jam",4.652
"less",4.648
"concealed",4.634
"divided",4.634
"privately",4.634
"undecided",4.634
"weather",4.629
"singing",4.628
"fortune",4.626
"met",4.626
"revealed",4.624
"great",4.622
"words",4.588
"swear",4.581
"hello",4.576
"ive",4.574
"matter",4.561
"slittin'",4.553
"write",4.546
"grace",4.524
"bring",4.521
"tree",4.516
"brain",4.512
"stranger",4.5
"knees",4.498
