"word","freq"
"like",396.863
"love",396.134
"yeah",288.416
"oh",269.465
"know",266.123
"baby",254.976
"just",247.153
"got",219.502
"come",205.829
"night",177.058
"now",167.776
"can",162.518
"boy",161.796
"get",159.096
"let",157.597
"go",156.885
"wanna",141.67
"take",135.103
"see",126.144
"want",125.072
"make",123.259
"way",120.704
"one",117.511
"right",116.319
"need",108.766
"na",108.123
"girl",104.371
"feel",99.661
"eh",97.459
"work",94.838
"'cause",93.37
"time",93.266
"bum",92.306
"ain't",91.974
"say",90.214
"back",89.715
"life",88.5
"never",88.188
"la",87.545
"ya",85.14
"gonna",79.283
"tell",78.963
"hey",70.531
"music",67.233
"give",66.632
"away",64.415
"hard",64.224
"ooh",63.969
"heart",63.032
"better",61.726
"turn",60.509
"please",55.738
"bright",55.224
"boom",55.182
"put",53.614
"think",52.942
"stop",52.507
"tonight",52.324
"still",51.1
"shine",48.974
"ella",48.71
"name",48.151
"mind",47.951
"really",47.618
"run",47.579
"said",47.079
"world",46.811
"day",46.732
"always",46.339
"man",45.33
"bitch",44.483
"diamond",43.763
"ride",43.492
"money",42.614
"fresh",42.417
"feeling",42.12
"good",41.977
"ay",41.546
"break",41.521
"play",41.139
"keep",40.752
"even",40.189
"runway",39.587
"cause",39.178
"little",38.95
"around",38.472
"hear",38.19
"something",38.18
"ever",38.103
"gotta",35.948
"going",35.152
"lie",35.119
"gone",34.903
"hold",33.999
"much",33.861
"nothing",33.764
"stand",33.433
"dj",32.318
"learn",31.633
"show",31.518
"care",31.479
"thing",31.43
"sky",31.277
"talk",31.155
"die",31.094
"without",31.044
"us",30.314
"loving",30.283
"wish",29.745
"wait",29.632
"long",29.563
"mr",29.317
"watch",29.198
"drink",29.116
"di",28.602
"umbrella",28.59
"bad",28.51
"sun",27.907
"diamonds",27.638
"looking",27.497
"eyes",27.197
"things",27.109
"crazy",26.797
"forever",26.614
"every",26.576
"everything",26.43
"best",26.347
"uh",26.287
"i'mma",26.136
"beautiful",26.104
"face",25.825
"ah",25.69
"kiss",25.68
"babe",25.643
"look",25.54
"everybody",25.433
"lost",25.381
"rain",25.139
"hate",24.828
"dance",24.786
"place",24.765
"dirt",24.669
"'til",24.4
"stay",24.31
"raining",24.188
"move",24.154
"told",24.025
"leave",23.854
"walk",23.789
"mine",23.772
"found",23.615
"live",23.445
"took",23.346
"call",23.135
"body",23.053
"someone",22.942
"ready",22.722
"hot",22.528
"inside",22.425
"drive",21.993
"cake",21.99
"gon'",21.925
"tired",21.728
"light",21.454
"fall",21.247
"new",21.001
"find",20.972
"throw",20.959
"de",20.945
"home",20.938
"cry",20.624
"close",20.545
"may",20.448
"huh",20.434
"happy",20.329
"together",20.194
"getting",20.176
"affection",20.115
"wrong",19.935
"touch",19.917
"try",19.732
"mama",19.438
"hopeless",19.299
"s",19.269
"game",19.074
"left",18.853
"fight",18.719
"fire",18.696
"done",18.602
"enough",18.319
"thought",18.189
"mean",18.059
"shit",17.952
"song",17.909
"jump",17.653
"big",17.611
"bedum",17.597
"head",17.547
"woo",17.527
"another",17.469
"'em",17.373
"late",17.314
"last",17.306
"business",17.281
"yo",17.247
"sure",17.174
"da",17.165
"m",17.085
"share",17.023
"might",16.934
"pon",16.875
"bring",16.831
"somebody",16.752
"first",16.729
"thinking",16.719
"floor",16.668
"end",16.61
"roll",16.599
"hit",16.469
"knows",16.422
"thang",16.366
"rihanna",16.333
"feels",16.223
"reason",16.192
"moment",16.159
"rum",16.105
"maybe",15.942
"california",15.771
"numb",15.747
"hurt",15.716
"fuck",15.622
"hope",15.57
"hand",15.477
"saw",15.47
"'bout",15.406
"breathe",15.296
"push",15.176
"nobody's",15.044
"guess",15.024
"hands",14.966
"dont",14.956
"alive",14.876
"yes",14.741
"eat",14.699
"till",14.672
"im",14.637
"eye",14.613
"shots",14.568
"high",14.387
"easy",14.345
"nah",14.288
"makes",14.258
"apart",14.24
"air",14.211
"door",14.109
"losing",14.088
"three",13.997
"skin",13.949
"alone",13.856
"lights",13.773
"sex",13.731
"club",13.697
"burn",13.641
"stupid",13.633
"used",13.53
"must",13.475
"pull",13.441
"american",13.429
"dark",13.355
"friend",13.328
"rude",13.182
"real",13.161
"tryna",13.111
