"word","freq"
"yeah",345.47
"baby",341.937
"just",267.882
"get",258.072
"oh",250.509
"love",207.813
"got",180.405
"like",160.642
"want",150.492
"now",145.514
"go",145.32
"know",144.194
"come",142.097
"well",135.224
"can",119.582
"never",116.659
"away",111.73
"gonna",110.851
"time",110.689
"aaah",110.323
"back",106.72
"hey",99.208
"make",94.745
"see",92.128
"girl",90.679
"night",90.107
"little",89.1
"ain't",86.268
"let",85.843
"one",85.14
"way",83.965
"oooh",81.756
"said",81.259
"right",78.576
"man",74.71
"need",72.714
"say",72.292
"tell",71.36
"around",67.701
"take",66.798
"heart",66.488
"give",65.308
"star",59.846
"keep",58.792
"feel",57.158
"la",56.963
"hear",56.918
"comes",56.665
"cold",56.445
"long",55.09
"wanna",54.447
"yes",54.107
"stop",53.464
"think",52.798
"day",51.916
"try",50.31
"home",50.085
"hot",49.805
"sweet",49.557
"alright",48.795
"rock",47.769
"cry",47.158
"dance",45.595
"'cause",44.621
"always",44.568
"roll",43.985
"ooh",43.976
"fucker",43.866
"much",43.667
"c'mon",43.23
"going",43.132
"look",43.127
"every",42.633
"life",42.468
"really",42.429
"please",40.631
"put",40.466
"pretty",39.461
"coming",39.447
"name",38.624
"woo",37.742
"good",37.71
"girls",37.537
"bad",37.195
"hard",37.019
"mind",36.922
"eyes",36.484
"ah",36.046
"ever",35.374
"waiting",35.12
"honey",34.644
"walk",34.508
"gotta",32.819
"running",32.657
"shot",32.227
"find",32.067
"world",31.931
"old",31.914
"money",31.911
"black",31.833
"new",31.596
"seen",31.588
"babe",31.318
"together",31.278
"better",31.023
"ya",30.827
"hold",29.818
"face",29.788
"sad",29.009
"help",28.919
"saw",28.745
"doo",28.734
"fire",27.811
"call",27.16
"'n'",27.058
"gimme",27.058
"still",26.813
"street",26.717
"drink",26.405
"gas",26.378
"cloud",26.273
"start",26.264
"hang",26.226
"hand",25.789
"mine",25.007
"sure",24.968
"lord",24.953
"happy",24.499
"sometimes",24.452
"strong",24.13
"free",23.913
"everything",23.603
"high",23.535
"child",23.44
"used",23.225
"soul",23.086
"wild",22.812
"lost",22.657
"sun",22.347
"someone",22.232
"somebody",22.224
"kind",22.038
"nothing",21.915
"everybody",21.778
"head",21.488
"people",21.482
"thing",21.442
"things",21.199
"boys",21.194
"something",21.01
"light",21.001
"stay",20.786
"'bout",20.697
"place",20.69
"break",20.529
"made",20.394
"young",20.339
"miss",20.21
"easy",20.02
"boy",19.885
"feeling",19.73
"last",19.696
"woman",19.402
"move",19.372
"pain",19.317
"fool",19.213
"ride",19.091
"enough",19.056
"friend",19.004
"sing",18.92
"aaaahhwaw",18.905
"door",18.448
"town",18.395
"line",18.389
"song",18.289
"tears",18.121
"run",18.061
"took",18.041
"wait",17.889
"mean",17.84
"kiss",17.578
"honky",17.478
"tonk",17.478
"sister",17.452
"send",17.356
"thought",17.257
"feet",17.13
"matter",16.989
"another",16.768
"leave",16.744
"dont",16.693
"children",16.601
"top",16.445
"play",16.427
"stand",16.35
"wants",16.295
"left",16.288
"says",16.104
"bye",16.09
"side",16.067
"heard",16.048
"angie",15.89
"red",15.867
"satisfaction",15.846
"rocking",15.845
"looks",15.776
"dead",15.74
"maybe",15.688
"shattered",15.665
"shake",15.523
"jack",15.517
"gone",15.458
"goin'",15.452
"colors",15.386
"crazy",15.346
"tired",15.254
"change",15.253
"whip",15.237
"second",15.137
"hmm",14.966
"alone",14.92
"fight",14.868
"drive",14.853
"women",14.828
"poor",14.814
"looking",14.774
"monkey",14.747
"went",14.739
"watch",14.649
"close",14.645
"blues",14.626
"city",14.53
"huh",14.483
"must",14.461
"meet",14.456
"friends",14.446
"wrong",14.426
"touch",14.362
"two",14.337
"hope",14.313
"round",14.312
"tried",14.2
"lies",14.156
"lady",14.134
"dam",14.109
"spend",14.104
"nobody",14.102
"ta",14.043
"told",13.98
"dream",13.959
"tight",13.949
"care",13.947
"living",13.923
"far",13.917
"working",13.893
"fine",13.874
"rain",13.83
"turn",13.812
"hide",13.795
"goes",13.7
"flash",13.625
"show",13.574
"real",13.463
"strange",13.432
"dancin'",13.431
"slave",13.382
"die",13.376
"grown",13.364
"brown",13.314
"trying",13.263
"days",13.258
"believe",13.156
"done",13.139
"proud",13.047
"melody",13.034
"music",13.032
"blood",12.812
"open",12.81
"dog",12.736
"mad",12.66
"lie",12.642
"clothes",12.642
"inside",12.607
"guess",12.59
"road",12.53
"goodbye",12.484
"morning",12.434
"hurt",12.416
"driving",12.362
"use",12.294
"lonely",12.186
"drag",12.179
"fast",12.136
"dry",12.116
"talk",12.097
"mama",12.032
"witness",12.022
"midnight",11.994
"tonight",11.986
"neighbors",11.939
"standing",11.929
"everywhere",11.872
"smile",11.808
"de",11.788
"jumping",11.737
"bome",11.706
"andrew",11.649
"slow",11.638
"blue",11.631
"na",11.62
"mother",11.575
"us",11.559
"sugar",11.513
"loose",11.437
"even",11.397
"daddy",11.374
"next",11.309
"walking",11.3
"big",11.3
"moon",11.298
"lose",11.214
"live",11.1
"dreams",11.071
"half",11.061
"hands",11.047
"air",11.029
"game",10.97
"sleeping",10.91
"wish",10.89
"sleep",10.881
"today",10.857
"first",10.812
"thousand",10.719
"gold",10.712
"straight",10.696
"house",10.685
"jump",10.665
"gets",10.658
"beg",10.589
"stranger",10.556
"hair",10.547
"beat",10.545
"crowd",10.541
"late",10.541
"painted",10.532
"already",10.492
"turning",10.49
"tear",10.488
"talkin'",10.437
"imagination",10.422
"might",10.421
"true",10.353
"horses",10.347
"jail",10.343
"understand",10.338
"listen",10.336
"dressed",10.303
"ground",10.288
"sit",10.156
"fun",10.155
"thru",10.112
"crying",10.078
"best",9.956
"till",9.926
"sight",9.924
"stone",9.655
"times",9.653
"body",9.648
"tough",9.601
"years",9.572
"work",9.57
"deep",9.533
"blow",9.493
"bed",9.492
"taste",9.442
"lover",9.439
"war",9.27
"car",9.262
"bit",9.247
"chance",9.181
"claudine's",9.132
"hit",9.059
"train",9.047
"end",9.001
"wonder",8.913
"stuff",8.909
"behind",8.904
"steal",8.903
"silver",8.9
"bring",8.876
"phone",8.863
"dark",8.846
"without",8.842
"seem",8.747
"fade",8.692
"apart",8.601
"getting",8.588
"else",8.558
"hearts",8.539
"beautiful",8.524
"taught",8.513
"hell",8.493
"loving",8.488
"sitting",8.487
"empty",8.437
"low",8.41
"along",8.404
"lovin'",8.391
"somewhere",8.377
"sick",8.374
"fly",8.364
"buy",8.357
"queen",8.336
"floor",8.333
"nights",8.3
"needs",8.278
"coat",8.237
"though",8.162
"undercover",8.159
"darlin'",8.151
"makes",8.138
"three",8.13
"shit",8.118
"sha",8.043
"full",8.036
"across",8.032
"slide",8.019
"poison",8.009
"hip",8.004
"sittin'",7.95
"worry",7.939
"remember",7.93
"fall",7.853
"laugh",7.845
"'round",7.796
"since",7.795
"thumb",7.756
"bet",7.753
"knew",7.747
"sex",7.732
"knows",7.715
"started",7.704
"cried",7.649
"mercy",7.618
"number",7.59
"york",7.575
"dirty",7.532
"pay",7.526
"may",7.438
"seems",7.437
"shadow",7.391
"harder",7.366
"flight",7.362
"connection",7.34
"white",7.335
"whoa",7.311
"forget",7.276
"anybody",7.275
"doin'",7.274
"rich",7.244
"lights",7.224
"lookin'",7.186
"ready",7.179
"streets",7.123
"piece",7.121
"ahead",7.112
"telephone",7.096
"rough",7.095
"boardwalk",7.046
