"word","freq"
"war",58.349
"way",40.005
"fight",34.129
"time",31.005
"now",30.271
"men",28.311
"back",28.002
"one",27.718
"hell",27.044
"night",26.525
"land",25.207
"never",25.151
"death",24.89
"see",24.291
"army",23.906
"die",22.97
"come",21.4
"end",20.753
"rise",20.479
"stand",19.78
"ground",19.171
"fall",18.841
"man",18.826
"march",18.629
"world",17.937
"oh",17.641
"fire",17.192
"far",16.585
"long",16.258
"blood",16.054
"sky",16.036
"home",15.67
"lives",15.635
"carolus",15.601
"attack",15.511
"battle",15.494
"burn",15.439
"freedom",15.143
"name",15.083
"take",15.059
"first",14.643
"side",14.559
"arms",14.549
"heaven",14.501
"came",14.468
"lost",14.391
"hear",14.119
"away",13.748
"sent",13.729
"reich",13.467
"line",13.16
"live",12.859
"alone",12.779
"last",12.566
"leading",12.546
"day",12.421
"hand",12.362
"shore",12.35
"burning",12.301
"go",12.242
"still",12.186
"turn",12.033
"remember",11.941
"force",11.882
"peace",11.75
"hard",11.584
"make",11.481
"price",11.461
"like",11.428
"et",11.42
"feet",11.419
"soldiers",11.387
"killing",11.313
"retreat",11.313
"know",11.251
"machine",11.192
"strike",11.035
"city",10.916
"guns",10.875
"forces",10.583
"charge",10.535
"dawn",10.499
"break",10.439
"dreams",10.439
"just",10.43
"broken",10.221
"fallen",10.158
"dead",10.118
"rule",10.107
"rest",9.953
"gates",9.884
"get",9.866
"call",9.774
"fear",9.701
"turned",9.661
"hold",9.577
"fighting",9.493
"many",9.387
"sight",9.359
"metal",9.356
"years",9.138
"en",9.117
"facing",9.105
"say",9.015
"bite",9.007
"surrender",8.94
"glory",8.935
"lines",8.885
"och",8.787
"us",8.748
"can",8.74
"fly",8.63
"ready",8.496
"pain",8.489
"fought",8.471
"calling",8.319
"pride",8.296
"young",8.253
"orders",8.247
"heroes",8.235
"north",8.22
"berlin",8.205
"resist",8.186
"coming",8.133
"brothers",8.084
"air",8.056
"thunder",7.973
"hide",7.966
"tanks",7.916
"pay",7.894
"life",7.885
"king",7.858
"jag",7.783
"born",7.697
"for",7.611
"europe",7.544
"gone",7.474
"marching",7.467
"nazi",7.425
"foes",7.416
"dark",7.313
"died",7.304
"panzer",7.289
"find",7.257
"control",7.228
"upon",7.196
"gott",7.167
"mit",7.167
"left",7.126
"kill",7.072
"augusta",7.065
"impera",7.065
"libera",7.065
"head",7.047
"ahead",7.03
"sand",7.015
"flames",6.952
"grand",6.919
"white",6.884
"though",6.849
"destruction",6.808
"gang",6.77
"heart",6.736
"knows",6.679
"may",6.669
"eyes",6.639
"1944",6.636
"artillery",6.562
"power",6.548
"lion",6.545
"gleaves",6.528
"cross",6.443
"million",6.425
"gallipoli",6.395
"near",6.365
"enemy",6.318
"uns",6.271
"fame",6.269
"history",6.256
"tell",6.255
"always",6.232
"chains",6.174
"run",6.14
"victory",6.129
"win",6.105
"foe",6.082
"axis",6.069
"fade",6.068
"final",6.049
"light",6.005
"let",5.987
"around",5.973
"must",5.951
"serve",5.949
"dust",5.923
"storm",5.893
"despair",5.884
"second",5.875
"begun",5.872
"great",5.851
"som",5.774
"started",5.766
"waiting",5.757
"god",5.728
"done",5.711
"sound",5.708
"command",5.701
"chosen",5.685
"awaits",5.628
"lord",5.625
"watch",5.565
"wind",5.53
"cold",5.499
"acerbus",5.495
"adolphus",5.495
"gustavus",5.495
"ingens",5.495
"union",5.481
"black",5.436
"said",5.42
"thousands",5.419
"bury",5.346
"beast",5.342
"caroleans",5.269
"turning",5.253
"primo",5.248
"victoria",5.248
"mig",5.196
"strid",5.167
"ho",5.149
"beat",5.061
"face",5.032
"june",5.02
"defeat",4.962
"soon",4.956
"east",4.951
"deep",4.926
"goodbye",4.917
"knew",4.876
"soldier",4.867
"mortars",4.84
"red",4.828
"min",4.804
"three",4.781
"days",4.773
"soviet",4.765
"start",4.762
"walk",4.668
"millions",4.665
"game",4.653
"right",4.622
"ride",4.62
"skies",4.611
"tonight",4.604
"led",4.603
"stop",4.603
"vi",4.591
"going",4.582
"forth",4.568
"warsaw",4.525
"west",4.441
"party",4.44
"past",4.42
"brought",4.418
"dream",4.416
"feel",4.412
"won",4.371
"nature",4.369
"closing",4.366
"thousand",4.356
"damned",4.327
"masters",4.322
"wrath",4.309
"sea",4.307
"division",4.296
"ghost",4.296
"living",4.296
"fail",4.292
"within",4.26
"darkness",4.245
"close",4.244
"mud",4.218
"mitt",4.206
"miles",4.198
"sign",4.194
"nation",4.193
"voices",4.193
"battalion",4.19
"enter",4.187
"enemies",4.181
"fields",4.178
"times",4.162
"convoy",4.154
"ingham",4.154
"western",4.145
"soul",4.126
"auschwitz",4.11
"nations",4.104
"leave",4.099
"alive",4.094
"vain",4.085
"winter",4.072
"waste",4.042
"grave",4.035
"called",4.031
"green",4.006
"deserved",4.002
"'cause",4
"together",3.983
"friend",3.976
