"word","freq"
"like",441.81
"get",399.021
"got",288.126
"know",248.927
"nigga",237.187
"now",223.146
"dogg",195.953
"ain't",186.29
"yeah",185.743
"shit",176.492
"can",175.532
"just",173.851
"go",161.891
"back",161.653
"ya",153.443
"snoop",150.377
"wanna",148.187
"fuck",146.396
"see",144.696
"niggas",143.039
"one",142.799
"bitch",135.503
"make",117.808
"love",115.901
"let",113.337
"'cause",110.681
"'em",110.392
"come",107.794
"say",105.833
"take",94.523
"want",93.137
"time",86.87
"keep",85.659
"game",85.221
"baby",84.673
"hot",82.612
"gangsta",81.395
"real",79.517
"g",79.116
"put",78.565
"man",77.984
"girl",77.896
"never",76.657
"oh",76.206
"right",76.099
"la",75.094
"money",72.768
"give",71.335
"life",70.876
"cause",69.87
"bitches",69.359
"tell",67.972
"big",67.727
"way",67.37
"doggy",62.82
"ass",62.235
"y'all",61.096
"hoes",58.787
"gang",58.545
"hit",58.367
"drip",57.28
"yo",56.584
"need",56.186
"hey",55.98
"gotta",52.489
"ride",52.452
"niggaz",52.348
"gonna",51.641
"stop",51.322
"smoke",50.429
"good",49.611
"wit",47.344
"side",46.239
"roll",45.312
"***",44.17
"every",43.438
"long",43.325
"think",42.817
"day",42.361
"little",42.101
"da",41.743
"still",41.51
"feel",41.137
"girls",40.738
"double",40.554
"world",40.335
"party",39.986
"pop",39.883
"drop",39.619
"house",39.48
"around",38.557
"us",38.22
"better",38.023
"gon'",37.878
"bang",37.342
"nah",36.997
"said",36.648
"motherfuckin'",36.647
"stay",36.397
"'bout",36.347
"high",35.881
"look",35.845
"really",35.482
"weed",35.139
"leave",35.104
"even",34.758
"run",34.118
"play",34.041
"name",33.936
"call",33.835
"move",33.805
"dog",33.578
"boy",32.981
"two",32.928
"i'ma",32.523
"hard",32.493
"homies",32.192
"uh",32.158
"dick",31.688
"pound",30.647
"thang",30.619
"bad",30.494
"try",30.367
"show",30.215
"low",30.186
"always",30.042
"damn",29.366
"head",29.2
"beach",29.185
"o",28.583
"well",28.387
"ho",28.333
"check",28.219
"motherfucker",28.173
"home",28.009
"d",27.864
"talk",27.4
"gettin'",27.251
"blue",27.109
"ever",27.092
"hoe",26.929
"hood",26.531
"straight",26.303
"hands",26.287
"fuckin'",26.155
"turn",26.021
"getting",25.946
"whole",25.933
"im",25.866
"west",25.811
"tha",25.781
"east",25.684
"homie",25.609
"streets",25.402
"might",25.286
"wet",25.183
"young",25.003
"night",24.845
"break",24.829
"pussy",24.622
"away",24.498
"made",24.453
"new",24.279
"much",24.219
"street",24.134
"park",24.134
"beat",23.915
"done",23.896
"motherfuckin",23.777
"lay",23.657
"watch",23.505
"thing",23.381
"club",23.092
"bomb",23.073
"crip",22.986
"something",22.921
"black",22.906
"another",22.734
"mind",22.66
"dre",22.606
"bout",22.599
"step",22.525
"face",22.41
"'cuz",22.142
"came",22.078
"shake",22.041
"everybody",22.009
"tryin'",21.964
"motherfucking",21.92
"heard",21.918
"told",21.873
"ask",21.86
"walk",21.702
"mine",21.584
"snoopy",21.522
"pimp",21.486
"crazy",21.4
"gone",21.297
"wow",21.27
"doin'",21.242
"momma",21.211
"rock",21.095
"lookin'",21.066
"trip",20.731
"first",20.728
"spot",20.714
"an'",20.356
"sexy",20.219
"death",20.192
"freak",20.114
"goin'",20.004
"set",19.786
"top",19.769
"hear",19.768
"place",19.744
"groove",19.651
"die",19.633
"yo'",19.617
"cold",19.584
"talkin'",19.524
"used",19.463
"find",19.149
"best",18.953
"fun",18.909
"holla",18.785
"ready",18.641
"bring",18.569
"heat",18.553
"playa",18.517
"fool",18.498
"cool",18.46
"many",18.37
"eastside",18.342
"g's",18.287
"quick",18.165
"people",18.062
"motherfuckers",17.894
"believe",17.803
"king",17.7
"aint",17.605
"coast",17.497
"dance",17.448
"pass",17.443
"next",17.377
"haters",17.298
"dip",17.192
"everything",17.172
"row",17.147
"lot",17.099
"three",16.918
"live",16.897
"mouth",16.657
"change",16.622
"last",16.505
"mean",16.458
"city",16.453
"god",16.42
"'til",16.415
"caught",16.396
"****",16.386
"bust",16.355
"em",16.29
"hold",16.185
"free",16.183
"flow",16.093
"boom",16.057
"nothin'",15.901
"thats",15.899
"lbc",15.89
"gun",15.862
"yes",15.831
"eruption",15.782
"catch",15.769
"knew",15.736
"sweat",15.713
"lil'",15.709
"feet",15.705
"platinum",15.667
"light",15.662
"drink",15.658
"pull",15.646
"boss",15.571
"n",15.491
"till",15.449
"miss",15.407
"eyes",15.387
"ooh",15.334
"ladies",15.309
"kill",15.277
"water",15.19
"buy",15.181
"trying",15.083
"gon",15.077
"hell",15.069
"somethin'",15.002
"guess",14.982
"paper",14.931
"dope",14.928
"limit",14.895
"block",14.838
"thought",14.838
"fly",14.833
"please",14.778
"fat",14.737
"none",14.731
"p",14.564
"floor",14.52
"going",14.497
"matter",14.414
"living",14.399
"pimpin",14.366
"ungh",14.33
"hand",14.327
"fo'",14.293
"listen",14.286
"fuckin",14.285
"close",14.197
"air",14.045
"wonder",13.963
"slow",13.938
"u",13.926
"loc",13.92
"quit",13.855
"ghetto",13.82
"though",13.745
"old",13.738
"things",13.719
"sure",13.684
"cut",13.593
"gold",13.544
"went",13.507
"seduction",13.442
"sensual",13.442
"rap",13.427
"fall",13.356
"blow",13.343
"welcome",13.341
"seen",13.315
"left",13.27
"slip",13.262
"dont",13.15
"work",13.109
"door",13.096
"cop",13.091
"south",13.082
"understand",13.072
"kick",13.061
"tonight",13.053
"sexual",12.996
"bump",12.996
"shot",12.946
"trees",12.885
"eat",12.87
"imagine",12.838
"gets",12.773
"drippin'",12.771
"yea",12.736
"homey",12.722
"together",12.692
"dirty",12.666
"pay",12.662
"care",12.622
"mic",12.605
"rowdy",12.579
"comin'",12.465
"white",12.447
"full",12.442
"days",12.413
"goes",12.359
"drive",12.314
"ha",12.305
"trust",12.272
"wrong",12.266
"gin",12.261
"car",12.173
"start",12.136
"outta",12.135
"tryna",12.107
"must",12.087
"hope",12.036
"trippin'",11.985
"dead",11.98
"hair",11.971
"without",11.955
"sleep",11.933
"pump",11.903
"bow",11.899
"boys",11.799
"187",11.796
"grip",11.793
"remember",11.756
"town",11.733
"bass",11.627
"friends",11.595
"music",11.586
"livin'",11.571
"control",11.476
"ball",11.426
"wait",11.42
"throw",11.372
"sound",11.317
"midnight",11.308
"cash",11.256
"since",11.247
"everywhere",11.223
"true",11.195
"dollar",11.166
"body",11.095
"heart",11.062
"grab",11.02
"four",10.948
"alone",10.926
"2",10.897
"green",10.878
"red",10.843
"nobody",10.841
"style",10.805
"case",10.768
"fresh",10.753
"'cos",10.727
"dat",10.726
"gangstas",10.726
"dpg",10.709
"week",10.643
"dig",10.611
"crib",10.588
"different",10.583
"wear",10.573
"times",10.554
"follow",10.534
"supposed",10.524
"coming",10.521
"gave",10.513
"juice",10.491
"dj",10.46
