"word","freq"
"know",45.786
"like",33.22
"just",29.224
"go",23.443
"oh",20.354
"now",16.054
"can",15.29
"never",14.689
"love",13.914
"life",13.642
"feels",13.531
"closer",13.153
"got",12.972
"make",12.885
"come",12.667
"time",12.207
"try",11.688
"get",11.518
"think",11.403
"said",11.198
"take",10.813
"around",10.806
"feel",9.973
"let",9.891
"ever",9.836
"one",9.832
"see",9.757
"getting",9.157
"mind",9.038
"thinking",9.022
"day",8.988
"past",8.773
"next",8.399
"hard",8.157
"backwards",8.15
"happy",7.847
"say",7.644
"way",7.44
"cause",7.421
"stop",7.413
"long",7.347
"gonna",7.328
"always",7.26
"calling",6.998
"someone",6.873
"late",6.785
"well",6.767
"right",6.747
"really",6.693
"maybe",6.684
"nothing",6.411
"stupid",6.383
"baby",6.252
"end",6.216
"trying",6.138
"wanna",6.125
"back",6.101
"every",6.064
"guess",5.968
"old",5.886
"gotta",5.785
"new",5.717
"care",5.698
"need",5.681
"hope",5.635
"happen",5.609
"together",5.545
"might",5.4
"tell",5.28
"feeling",5.249
"talk",5.211
"else",5.172
"going",5.083
"much",5.068
"soon",4.936
"part",4.912
"yes",4.893
"man",4.816
"woman",4.748
"thought",4.646
"hell",4.547
"brand",4.475
"person",4.475
"change",4.43
"saw",4.415
"things",4.413
"waiting",4.356
"sorry",4.311
"heart",4.29
"real",4.277
"something",4.143
"ahead",4.075
"hopes",4.075
"says",4.075
"running",3.958
"ready",3.821
"better",3.798
"side",3.734
"mistakes",3.729
"'til",3.727
"home",3.727
"less",3.69
"forever",3.652
"lover",3.602
"line",3.562
"wait",3.52
"breathe",3.491
"another",3.473
"remember",3.437
"give",3.406
"must",3.384
"bounce",3.375
"lovin'",3.375
"scare",3.375
"ticket",3.375
"train",3.375
"vanish",3.375
"left",3.338
"even",3.253
"face",3.252
"along",3.231
"wanted",3.213
"hold",3.198
"ah",3.19
"true",3.168
"world",3.164
"look",3.156
"good",3.155
"eventually",3.152
"meant",3.146
"close",3.136
"fine",3.055
"superman",3.008
"watch",2.991
"finally",2.983
"option",2.983
"everything",2.982
"hear",2.959
"away",2.94
"holding",2.937
"door",2.915
"made",2.873
"want",2.857
"friends",2.852
"name",2.804
"used",2.797
"happier",2.761
"answer",2.713
"moving",2.678
"sitting",2.616
"walk",2.612
"inside",2.603
"still",2.6
"coming",2.552
"without",2.501
"suppose",2.501
"song",2.453
"voice",2.415
"ask",2.407
"changing",2.392
"deep",2.351
"seems",2.307
"little",2.306
"wrong",2.273
"regrets",2.238
"honesty",2.232
"move",2.232
"saying",2.2
"demons",2.191
"accept",2.17
"takes",2.17
"head",2.124
"knows",2.118
"arise",2.099
"blow",2.093
"run",2.09
"far",2.064
"done",2.036
"human",2.035
"turn",2.027
"please",2.01
"convince",2.005
"ya",2.005
"anymore",1.995
"circles",1.985
"fight",1.98
"different",1.978
"moment",1.975
"put",1.968
"eyes",1.958
"somebody",1.951
"yeah",1.951
"felt",1.942
"ooh",1.934
"seem",1.934
"soul",1.901
"nobody",1.876
"sun",1.864
"may",1.837
"vision",1.823
"making",1.804
"tried",1.781
"pretend",1.772
"mine",1.75
"bullshit",1.702
"words",1.701
"happens",1.688
"belong",1.68
"happened",1.667
"darlin'",1.63
"darlin'it",1.63
"keep",1.628
"friend",1.623
"alone",1.612
"whole",1.599
"dreaming",1.592
"girl",1.588
"dead",1.582
"wish",1.577
"looks",1.565
"control",1.565
"night",1.556
"sense",1.556
"matter",1.546
"today",1.531
"taking",1.527
"live",1.499
"sign",1.494
"digest",1.492
"fall",1.492
"longed",1.492
"fading",1.488
"motion",1.488
"wants",1.459
